,Date,Value,Descricao,Categoria
0,2016-04-19,322.74,EMISSAO DE DOC E VIA BCE CONTRIBUTE CONTADORES ASS,1.1 Regulamentação
1,2016-07-05,320.38,Pagamento para Contabilidade,1.1 Regulamentação
2,2016-12-06,6.6,Estacionamento cartório,1.1 Regulamentação
3,2016-12-14,44.9,Compra de Livro para Trainee Destaque,1.1 Regulamentação
4,2016-04-05,636.55,PGTO TRIBUTOS MUNICIPAIS-CANAIS INTERNET PM SALVADOR,1.2 Impostos
5,2016-04-05,9.26,PGTO TRIBUTOS MUNICIPAIS-CANAIS INTERNET PM SALVADOR,1.2 Impostos
6,2016-04-05,3.27,TARIFA MANUTENCAO TIT VENCIDO,1.2 Impostos
7,2016-09-04,8.2,Estacionamento,1.2 Impostos
8,2016-03-22,6.0,Impressão para GE,2.1 Capacitação
9,2016-04-05,2500.0,Treinamento da LUA,2.1 Capacitação
10,2016-09-09,6.0,Estacionamento DIA DO MEMBRO,2.3 Dia do Membro Primus
11,2016-09-09,50.0,Dia do Membro Mão de obra para doces,2.3 Dia do Membro Primus
12,2016-09-09,41.9,Compra para materiais DIA DO MEMBRO,2.3 Dia do Membro Primus
13,2016-09-09,56.88,Ingredientes Brigadeiro Dia do Membro,2.3 Dia do Membro Primus
14,2016-07-06,11.0,Reunião com possível parceria,2.4 Parcerias / Relações Internacionais
15,2016-07-06,7.0,Reunião com possível parceria,2.4 Parcerias / Relações Internacionais
16,2016-09-04,30.0,Reuniões Presidência,2.4 Parcerias / Relações Internacionais
17,2016-11-11,50.0,Reuniões com parceiros,2.4 Parcerias / Relações Internacionais
18,2016-04-28,63.45,Evento Empregabilidade,3.1 Eventos Externos
19,2016-06-01,469.5,Total para presentes para Palestrantes do The Brand,3.1 Eventos Externos
20,2016-08-11,153.62,Reembolso Combustível Juliana ,3.1 Eventos Externos
21,2016-08-11,138.27,Reembolso Combustível Juliana,3.1 Eventos Externos
22,2016-08-11,182.35,Reembolso despesas Gabriel,3.1 Eventos Externos
23,2016-08-11,18.92,Reembolso Lanche Gabriel ,3.1 Eventos Externos
24,2016-08-11,100.0,Reembolso Combustível Gabriel,3.1 Eventos Externos
25,2016-08-11,100.0,Reembolso combustível Daniela,3.1 Eventos Externos
26,2016-08-11,100.0,Combustível reembolso Daniela,3.1 Eventos Externos
27,2016-08-11,100.0,Reembolso Combustivel Daniela,3.1 Eventos Externos
28,2016-10-17,75.0,Incentivo ao membro para RP Alagoinhas,3.1 Eventos Externos
29,2016-09-23,75.0,Incentivo para RP Alagoinhas,3.1 Eventos Externos
30,2016-09-23,150.0,Incentivo para dois membros; Marcos e Daniele,3.1 Eventos Externos
31,2016-10-14,169.4,Impressão + encader. projetos realizados Primus,3.1 Eventos Externos
32,2016-10-14,140.0,Bandeira Primus,3.1 Eventos Externos
33,2016-12-05,140.0,"Apoio para viajem Presidência, Evento RP",3.1 Eventos Externos
34,2016-11-30,17.0,"Combustível, Aplicação de questionário, Planeta Festa",3.1 Eventos Externos
35,2016-03-16,6.0,Estacionamento para materiais do blue day,3.3 Estacionamento
36,2016-03-22,6.0,Reunião com o cliente no Shoppin Salvador,3.3 Estacionamento
37,2016-04-29,6.0,Estacionamento Enapak,3.3 Estacionamento
38,2016-04-29,16.5,Estacionamento Well Park,3.3 Estacionamento
39,2016-05-17,8.0,Reunião de sensibilização,3.3 Estacionamento
40,2016-04-19,4.0,Impressão Proposta Luar de Itapuã,3.4 Ações de Marketing
41,2016-04-19,6.0,Reunião de Diagnóstico 5'SEC,3.4 Ações de Marketing
42,2016-04-19,50.0,"Combustível Luar de Itapuã, Da Fruta Polpas, 5'SEC",3.4 Ações de Marketing
43,2016-04-18,540.0,COMPRA CARTAO MAESTRO 18/04 ACCESS MAIS GRA- Camisas dos Membros,3.4 Ações de Marketing
44,2016-04-30,28.0,Gelo Para a Vivência,3.4 Ações de Marketing
45,2016-04-30,246.51,Consumíveis para a vivência,3.4 Ações de Marketing
46,2016-04-30,437.23,Alimentos para vivência,3.4 Ações de Marketing
47,2016-04-30,287.43,Consumíveis para vivência,3.4 Ações de Marketing
48,2016-04-30,254.73,Consumíveis para vivência,3.4 Ações de Marketing
49,2016-04-30,35.93,Consumíveis para Vivência,3.4 Ações de Marketing
50,2016-05-08,1672.0,Itens da vivência,3.4 Ações de Marketing
51,2016-06-03,6.0,Compra para presentes The Brand,3.4 Ações de Marketing
52,2016-06-06,6.0,Estacionamento para compra de presentes The Brand,3.4 Ações de Marketing
53,2016-06-08,6.0,Impressão para ação de marketing,3.4 Ações de Marketing
54,2016-06-17,112.5,Ações de marketing,3.4 Ações de Marketing
55,2016-06-17,95.6,Ações de marketing,3.4 Ações de Marketing
56,2016-07-06,527.0,Kit festa para cerimônia,3.4 Ações de Marketing
57,2016-07-06,52.2,Impressão para material de cerimônia,3.4 Ações de Marketing
58,2016-07-06,44.0,aluguel de materiais para cerimônia,3.4 Ações de Marketing
59,2016-07-20,15.98,Pastas Negócios,3.4 Ações de Marketing
60,2016-07-20,26.25,Impressão de propostas,3.4 Ações de Marketing
61,2016-07-20,8.25,Impressão de proposta,3.4 Ações de Marketing
62,2016-07-20,6.0,Impressão de proposta,3.4 Ações de Marketing
63,2016-08-11,88.0,"Combustível, reunião com clientes",3.4 Ações de Marketing
64,2016-08-11,6.0,Estacionamento 5àSec,3.4 Ações de Marketing
65,2016-08-11,81.9,Impressão de marketing,3.4 Ações de Marketing
66,2016-08-26,16.5,COMPRA CARTAO MAESTRO 26/08 ATLAS FAST,3.4 Ações de Marketing
67,2016-09-04,80.0,Panfleto para ações de Marketing,3.4 Ações de Marketing
68,2016-08-31,21.0,Serviço para adesivos do cartão,3.4 Ações de Marketing
69,2016-10-25,33.96,Materiais para consultoria expressa,3.4 Ações de Marketing
70,2016-10-18,157.5,45 Garrafinhas,3.4 Ações de Marketing
71,2016-11-04,288.0,Aniversário Primus,3.4 Ações de Marketing
72,2016-11-04,160.0,Gasolina Negócios,3.4 Ações de Marketing
73,2016-11-04,6.0,Estacionamento,3.4 Ações de Marketing
74,2016-11-04,29.44,Aniversário Primus,3.4 Ações de Marketing
75,2016-11-04,2.25,Aniversário Primus,3.4 Ações de Marketing
76,2016-11-30,29.0,Cerimônia de Efetivação,3.4 Ações de Marketing
77,2016-12-13,448.0,Buffet de Cerimonia de Efetivação,3.4 Ações de Marketing
78,2016-12-01,1500.0,Vivência (pagamento da parte do espaço),3.4 Ações de Marketing
79,2016-12-20,6.0,Estacionamento Vivência,3.4 Ações de Marketing
80,2016-12-20,32.0,Impressões Vivência,3.4 Ações de Marketing
81,2016-12-20,20.0,"Estacionamento, 5àSec, Reunião Final",3.4 Ações de Marketing
82,2016-03-16,27.0,Impressão de Adesivos,3.5 Diversos
83,2016-03-16,35.0,Reunião com Daniel Maior,3.5 Diversos
84,2016-03-17,80.0,Conserto do computador do financeiro,3.5 Diversos
85,2016-03-18,34.0,Material para a caixa da primus do blue day,3.5 Diversos
86,2016-03-18,8.97,Envelope para o blue day,3.5 Diversos
87,2016-03-31,77.54,Material ADM/FIN,3.5 Diversos
88,2016-03-16,39.0,Táxi para reunião,3.5 Diversos
89,2016-03-19,37.6,Taxi para a reunião,3.5 Diversos
90,2016-03-22,7.5,Impressão colorida do relatório,3.5 Diversos
91,2016-04-03,140.0,Combustível ,3.5 Diversos
92,2016-04-04,150.0,Combustível ,3.5 Diversos
93,2016-04-04,24.0,Combustível ,3.5 Diversos
94,2016-04-01,44.75,Impressão do Relatório,3.5 Diversos
95,2016-04-05,180.0,Reunião com parceiros,3.5 Diversos
96,2016-04-04,50.0,Combustível - Reunião com o cliente,3.5 Diversos
97,2016-04-05,139.0,PAGAMENTO DE TITULOS - BCE,3.5 Diversos
98,2016-04-05,60.0,TARIFA MENSALIDADE PACOTE SERVICOS MARCO / 2016,3.5 Diversos
99,2016-04-05,8.7,TARIFA EMISSAO DOC VIA CANAIS 07/04/2016,3.5 Diversos
100,2016-04-12,6.0,TARIFA LIQ COBRANCA SEM REGISTRO,3.5 Diversos
101,2016-04-12,3.27,	TARIFA MANUTENCAO TIT VENCIDO,3.5 Diversos
102,2016-04-12,3.27,TARIFA MANUTENCAO TIT VENCIDO,3.5 Diversos
103,2016-04-14,6.54,TARIFA MANUTENCAO TIT VENCIDO,3.5 Diversos
104,2016-04-18,2.55,TARIFA SAQUE ATM/BANCO 24HS 13/04/2016,3.5 Diversos
105,2016-04-18,5.95,MENSALIDADE DE SEGURO,3.5 Diversos
106,2016-04-19,3.27,TARIFA MANUTENCAO TIT VENCIDO,3.5 Diversos
107,2016-04-20,144.14,Combustível,3.5 Diversos
108,2016-04-10,120.06,Combustível,3.5 Diversos
109,2016-04-27,29.0,Presente Luciana,3.5 Diversos
110,2016-04-29,48.0,Combustível para aplicação de pesquisa,3.5 Diversos
111,2016-04-29,50.0,Conserto de duas cadeiras,3.5 Diversos
112,2016-05-30,50.0,Impressão de material gestão a vista,3.5 Diversos
113,2016-07-03,84.64,Alimentação vespertina PE,3.5 Diversos
114,2016-07-04,283.0,Almoço PE,3.5 Diversos
115,2016-07-31,8804.96,Ajuste de caixa para início de uso efetivo de software,3.5 Diversos
116,2016-08-02,54.9,Compra de livro para meritocracia de membro,3.5 Diversos
117,2016-08-19,15.0,Impressão referente ao PSP,3.5 Diversos
118,2016-08-18,6.0,Impressão PSP,3.5 Diversos
119,2016-08-22,4.2,Impressão PSP,3.5 Diversos
120,2016-08-23,4.2,Impressão PSP,3.5 Diversos
121,2016-08-17,8.5,Impressão PSP,3.5 Diversos
122,2016-10-14,400.0,Bolsa Diretor; Daniela Velame,3.5 Diversos
123,2016-10-14,80.0,Combustível,3.5 Diversos
124,2016-10-11,8.0,Estacionamento,3.5 Diversos
125,2016-10-11,19.14,Gasto com o projeto,3.5 Diversos
126,2016-10-31,41.5,Compra de material de escritório,3.5 Diversos
127,2016-10-27,56.4,Impressão e encadernamento,3.5 Diversos
128,2016-11-11,134.83,Bolsa Diretor-Osman,3.5 Diversos
129,2016-11-11,108.86,Bolsa Diretor-Osman,3.5 Diversos
130,2016-11-11,82.16,Bolsa Diretor-Osman,3.5 Diversos
131,2016-11-11,49.9,Bolsa Diretor-Osman,3.5 Diversos
132,2016-11-11,176.88,Bolsa Diretor-Osman,3.5 Diversos
133,2016-11-11,149.99,Bolsa Diretor-Osman,3.5 Diversos
134,2016-11-11,100.0,Bolsa Diretor-Gabriel,3.5 Diversos
135,2016-11-11,100.0,Bolsa Diretor-Gabriel,3.5 Diversos
136,2016-04-19,15.0,"Combustível 5'SEC, Da Fruta, Luar Itapuã",4.2.1 Negociação
