,Date,Value,Descricao,Categoria
0,2016-08-17,44.25,Água,Água
1,2016-09-28,44.25,Água,Água
2,2016-10-31,44.25,Água,Água
3,2016-11-01,44.25,Água,Água
4,2016-12-01,44.25,Água,Água
5,2017-01-01,44.25,Água,Água
6,2017-03-20,44.25,Água,Água
7,2017-02-20,44.25,Água,Água
8,2017-04-14,49.2,Água,Água
9,2017-05-14,49.2,Água,Água
10,2017-06-26,49.24,Água,Água
11,2017-07-25,49.24,Água,Água
12,2017-08-25,65.65,Água,Água
13,2017-09-25,69.64,Água,Água
14,2017-10-25,69.65,Água,Água
15,2017-11-25,69.65,Água,Água
16,2017-12-25,69.65,Água,Água
17,2018-01-25,69.65,Água,Água
18,2018-03-05,69.65,Água,Água
19,2018-04-05,69.65,Água,Água
20,2018-05-05,52.2,Água,Água
21,2018-06-05,52.2,Água,Água
22,2018-07-05,52.2,Água,Água
23,2018-08-05,52.2,Água,Água
24,2018-09-05,52.2,Água,Água
25,2018-10-05,52.2,Água,Água
26,2018-11-05,52.2,Água,Água
27,2018-12-05,52.2,Água,Água
28,2019-01-05,52.2,Água,Água
29,2019-02-05,52.2,Água,Água
30,2019-03-05,52.2,Água,Água
31,2016-08-09,856.68,Aluguel - Florianópolis,Aluguel
32,2016-08-01,400.0,Estrutura - Porto Alegre,Aluguel
33,2016-09-01,400.0,Estrutura - Porto Alegre,Aluguel
34,2016-09-28,856.68,Aluguel - Florianópolis,Aluguel
35,2016-10-01,856.68,Aluguel - Florianópolis,Aluguel
36,2016-11-01,856.68,Aluguel,Aluguel
37,2016-11-21,550.0,Coworking - Porto Alegre,Aluguel
38,2016-12-01,856.68,Aluguel,Aluguel
39,2017-01-01,856.68,Aluguel,Aluguel
40,2017-01-13,355.0,Coworking - Porto Alegre,Aluguel
41,2017-02-05,900.0,Aluguel,Aluguel
42,2017-02-02,550.0,Coworking - Porto Alegre,Aluguel
43,2017-04-02,550.0,Coworking - Porto Alegre,Aluguel
44,2017-05-02,550.0,Coworking - Porto Alegre,Aluguel
45,2017-06-02,550.0,Coworking - Porto Alegre,Aluguel
46,2017-07-02,550.0,Coworking - Porto Alegre,Aluguel
47,2017-08-02,550.0,Coworking - Porto Alegre,Aluguel
48,2017-10-02,550.0,Coworking - Porto Alegre,Aluguel
49,2017-03-10,550.0,Coworking - Porto Alegre,Aluguel
50,2017-03-10,900.0,Aluguel,Aluguel
51,2017-04-14,900.0,Aluguel,Aluguel
52,2017-05-15,900.0,Aluguel,Aluguel
53,2017-06-26,900.0,Aluguel,Aluguel
54,2017-07-25,900.0,Aluguel,Aluguel
55,2017-08-25,900.0,Aluguel,Aluguel
56,2017-09-25,900.0,Aluguel,Aluguel
57,2017-10-25,900.0,Aluguel,Aluguel
58,2017-11-25,900.0,Aluguel,Aluguel
59,2017-12-25,900.0,Aluguel,Aluguel
60,2017-11-05,450.0,Aluguel POA,Aluguel
61,2017-12-05,450.0,Aluguel POA,Aluguel
62,2018-02-20,920.0,Aluguel,Aluguel
