,Date,Value,Descricao,Categoria
0,2014-10-16,190.56,Compesa - água,Água
1,2014-10-06,8.5,água mineral,Água
2,2014-10-14,12.5,Água mineral,Água
3,2014-10-20,8.5,Água Mineral,Água
4,2014-10-29,12.5,Água Mineral,Água
5,2014-11-14,724.0,Assecon - SKA,Água
6,2014-11-07,4.0,Água mineral,Água
7,2014-11-10,8.5,Água mineral,Água
8,2014-11-12,79.93,Compras escritório,Água
9,2014-11-20,12.5,Água mineral,Água
10,2014-11-14,8.5,água mineral,Água
11,2014-11-27,4.0,Água mineral,Água
12,2014-12-01,12.5,Água Mineral,Água
13,2014-12-05,8.5,Água mineral,Água
14,2014-12-16,92.09,Compesa,Água
15,2014-12-16,8.0,água mineral,Água
16,2014-12-26,585.03,Celpe,Água
17,2014-01-06,3.7,Água Mineral,Água
18,2014-01-06,4.0,Água Mineral,Água
19,2014-01-06,3.7,Água Mineral,Água
20,2014-01-13,3.7,Compra de Água Mineral,Água
21,2014-01-14,4.0,Compra de Água Mineral,Água
22,2014-01-21,4.0,Compra de água mineral,Água
23,2014-01-27,3.7,Compra de água mineral,Água
24,2014-05-16,190.56,Compesa,Água
25,2015-02-11,8.5,Água mineral,Água
26,2015-02-11,8.5,Água mineral,Água
27,2014-08-28,1700.0,cheque 054 não identificado,Água
28,2014-09-15,550.0,CHEQUE COMPENSADO,Água
29,2014-09-16,190.56,PGTO CONTA ÁGUA,Água
30,2014-09-29,1603.46,BB CAPITAL GIRO MIX PASEP,Água
31,2015-01-19,12.5,Água mineral,Água
32,2015-02-11,12.5,Água Mineral,Água
33,2015-01-23,8.5,Água Mineral,Água
34,2014-09-18,125.0,Abracom,Água
35,2014-09-11,234.74,cheque 368 não identificado,Água
36,2014-09-11,288.87,cheque 372 não identificado,Água
37,2014-11-26,550.0,cheque 346 não idenficado,Água
38,2014-11-26,325.28,cheque 351 não identificado,Água
39,2014-11-26,425.0,cheque 345 não identificado,Água
40,2014-12-01,20261.81,ESTORNO RESGATE AUTOMÁTIC,Água
41,2014-12-30,1799.74,ESTORNO RESGATE AUTOMÁTIC,Água
42,2015-02-12,12.5,Água Mineral,Água
43,2015-02-24,4.0,Água mineral,Água
44,2015-03-05,8.5,Água mineral,Água
45,2015-03-20,8.5,Água Mineral,Água
46,2015-03-20,8.5,água mineral,Água
47,2015-03-25,8.0,Água mineral,Água
48,2015-01-11,12.5,"Água mineral - Cheque SKA BB 850006 R$ 1.501,20",Água
49,2014-01-01,129.4,cheque 257 pagamentos realizados para compra de suprimentos,Água
50,2015-02-27,12.5,Água Mineral,Água
51,2015-04-20,462.22,Voucher mensal,Água
52,2015-05-05,0.2,ajuste de saldo,Água
53,2015-01-16,88.28,Compesa,Água
54,2015-02-16,90.18,Compesa,Água
55,2015-03-31,88.28,Conta mensal comp fev,Água
56,2015-01-06,88.28,compesa,Água
57,2015-01-06,97.42,compesa,Água
58,2015-05-16,97.57,Compesa,Água
59,2015-05-22,46.01,ajuste de saldo,Água
60,2015-06-15,95.66,Compesa Mensal,Água
61,2015-06-16,4.0,água mineral,Água
62,2015-05-25,4.0,água mineral,Água
63,2015-05-25,4.0,água mineral,Água
64,2015-05-25,4.0,água mineral,Água
65,2015-05-25,8.0,água mineral,Água
66,2015-05-29,13.0,compra de água,Água
67,2015-06-09,4.0,água mineral,Água
68,2015-06-25,4.0,água mineral,Água
69,2015-04-14,8.5,água mineral,Água
70,2015-04-22,4.0,água mineral,Água
71,2015-04-27,4.5,água mineral,Água
72,2015-05-06,8.0,água mineral,Água
73,2015-06-02,12.5,água mineral,Água
74,2015-07-01,4.0,água mineral,Água
75,2015-07-08,8.0,água mineral,Água
76,2015-07-03,4.0,água mineral,Água
77,2015-07-03,4.0,água mineral,Água
78,2015-07-15,99.02,Compesa conta mensal,Água
79,2015-07-31,8.0,água mineral,Água
80,2015-08-15,101.0,Conta Compesa,Água
81,2015-09-02,4.0,Água Mineral,Água
82,2015-08-24,8.0,água mineral,Água
83,2015-09-09,4.0,Água Mineral,Água
84,2015-08-28,8.0,água mineral,Água
85,2015-07-31,8.0,água mineral,Água
86,2015-08-11,8.0,água mineral,Água
87,2015-09-18,8.0,água mineral,Água
88,2015-09-29,8.0,Agua mineral,Água
89,2015-09-15,99.02,conta mensal Compesa,Água
90,2015-10-09,8.0,Água Mineral,Água
91,2015-10-15,101.0,conta mensal compesa,Água
92,2015-09-02,4.0,água mineral,Água
93,2015-10-21,8.0,agua mineral,Água
94,2015-10-30,8.0,AGUA MINERAL,Água
95,2015-11-10,4.0,ÁGUA MINERAL,Água
96,2015-11-16,8.0,Agua mineral,Água
97,2015-11-15,99.02,Compesa out,Água
98,2015-11-30,8.0,AGUA MINERAL,Água
99,2015-12-15,101.0,COMPESA,Água
100,2015-12-14,4.0,agua mineral,Água
101,2015-12-18,8.0,Agua mineral,Água
102,2014-10-27,3000.0,Aluguel - Outubro - Cheque 850091,Aluguel
103,2014-11-25,3000.0,Aluguel agência - cheque 850114,Aluguel
104,2014-12-25,3000.0,Aluguel da agência - Cheque BB 850176,Aluguel
105,2014-01-10,607.85,Condomínio Mensal,Aluguel
106,2014-01-30,903.5,Aluguel Mensal,Aluguel
107,2014-02-14,590.0,Taxa de condomínio,Aluguel
